generation_id,generation,series,variant_id,engine,engine_type,fuel_type,displacement_cc,cylinders,horsepower_hp,torque_nm,transmission,drivetrain,acceleration_0_100_s,top_speed_kmh,weight_kg,length_mm,width_mm,height_mm,wheelbase_mm,fuel_consumption,battery_kwh,electric_range_km
BMW_Z3_E36,Z3 (E36/7),Z3,Z3_E36_3.0i,M54B30,I6,Petrol,2979,6,231,300,5-speed manual,RWD,6.0,240,1330,4050,1740,1293,2446,9.5,,
BMW_Z3_E36,Z3 (E36/7),Z3,Z3_E36_M_Roadster,S54B32,I6,Petrol,3246,6,325,350,5-speed manual,RWD,5.3,250,1420,4025,1740,1266,2459,11.4,,
BMW_Z4_E85,Z4 (E85),Z4,Z4_E85_3.0si,N52B30,I6,Petrol,2996,6,265,315,6-speed manual,RWD,5.7,250,1310,4091,1781,1299,2495,8.6,,
BMW_Z4_E85,Z4 (E85/E86),Z4,Z4_E85_M_Coupe,S54B32,I6,Petrol,3246,6,343,365,6-speed manual,RWD,5.0,250,1420,4113,1781,1287,2497,12.1,,
BMW_Z4_E89,Z4 (E89),Z4,Z4_E89_sDrive35is,N54B30TO,I6,Petrol,2979,6,340,450,7-speed DCT,RWD,4.8,250,1525,4239,1790,1291,2496,9.0,,
BMW_Z4_G29,Z4 (G29),Z4,Z4_G29_M40i,B58B30,I6,Petrol,2998,6,340,500,8-speed automatic,RWD,4.5,250,1535,4324,1864,1304,2470,7.4,,
BMW_Z8_E52,Z8 (E52),Z8,Z8_E52_Roadster,S62B50,V8,Petrol,4941,8,400,500,6-speed manual,RWD,4.7,250,1585,4400,1830,1317,2505,14.5,,
BMW_I3_I01,i3 (I01),i3,i3_120Ah,IB1P25M0 (Electric),Electric,Electric,,,170,250,1-speed automatic,RWD,7.3,150,1270,4011,1775,1577,2570,,42.2,307
BMW_I8_I12,i8 (I12),i8,i8_Coupe,B38K15T0 + Electric,I3,Plug-in Hybrid,1499,3,374,570,6-speed automatic,AWD,4.4,250,1535,4689,1942,1297,2800,2.1,11.6,55
BMW_IX_I20,iX (I20),iX,iX_xDrive50,Dual Electric Motors,Electric,Electric,,,523,765,1-speed automatic,AWD,4.6,200,2510,4953,1967,1695,3000,,111.5,630
BMW_I4_G26,i4 (G26),i4,i4_M50,Dual Electric Motors,Electric,Electric,,,544,795,1-speed automatic,AWD,3.9,225,2215,4783,1852,1448,2856,,83.9,520
BMW_IX1_U11,iX1 (U11),iX1,iX1_xDrive30,Dual Electric Motors,Electric,Electric,,,313,494,1-speed automatic,AWD,5.6,180,2010,4500,1845,1616,2692,,66.5,440
BMW_IX2_U10,iX2 (U10),iX2,iX2_xDrive30,Dual Electric Motors,Electric,Electric,,,313,494,1-speed automatic,AWD,5.6,180,2020,4554,1845,1560,2692,,66.5,449
BMW_IX3_G08,iX3 (G08),iX3,iX3_M_Sport,Electric Motor (Rear),Electric,Electric,,,286,400,1-speed automatic,RWD,6.8,180,2185,4734,1891,1668,2864,,80.0,460
BMW_I5_G60,i5 (G60),i5,i5_M60_xDrive,Dual Electric Motors,Electric,Electric,,,601,820,1-speed automatic,AWD,3.8,230,2305,5060,1900,1505,2995,,84.4,516
BMW_I7_G70,i7 (G70),i7,i7_M70_xDrive,Dual Electric Motors,Electric,Electric,,,660,1100,1-speed automatic,AWD,3.7,250,2695,5391,1950,1544,3215,,105.7,560
